Word,V.Mean.Sum,A.Mean.Sum,V.Mean.M,V.Mean.F,A.Mean.M,A.Mean.F,V.Mean.Y,V.Mean.O,A.Mean.Y,A.Mean.O
alphabet,5.95,3.15,6.17,5.87,2.88,3.33,6,5.92,2.78,3.45
alphabetical,6.32,3,6.2,6.46,2.67,3.13,6.14,6.55,3.14,2.93
alpine,5.84,3.52,5.67,5.88,4.25,03.08,5.67,6,4.22,3
altar,5.59,04.05,5.43,5.88,4.18,4.22,4.9,6.17,3.27,4.9
altar boy,4.76,3.11,4.17,5,3.29,3,4.56,4.92,3.11,3.1
alter,4.57,4.17,4.4,4.62,4.17,4.18,04.08,5.22,4.31,3.86
alteration,05.05,04.05,4.67,05.07,3.8,4.3,5.33,4.83,3.57,4.31
altercation,3.61,5.62,3.38,3.73,5.4,5.82,3.67,3.55,5,6.18
alternate,5.15,3.48,5,5.18,3.29,3.62,4.86,5.31,4.29,03.08
alternating,5.37,4.27,5.33,5.4,4.14,4.5,5.78,5,5.11,3.83
alternative,5.33,3.61,5.22,5.42,4.36,2.92,4.86,5.62,5.18,2.17
altimeter,4.5,3.61,4.88,4.38,3.25,3.71,4.75,4.46,3.67,3.57
altitude,5.27,4.15,5.44,5.15,4,4.25,6.5,4.57,4,4.31
aluminum,5.1,04.05,5.83,4.79,5.62,3,5.5,4.93,4.5,3.6
alumnus,4.95,3.23,5.11,4.83,3,3.2,4.78,05.08,4.4,2.88
alzheimers,2.26,4.5,1.82,2.14,4.25,4.64,2.62,2,3.33,5.31
amaretto,6,04.04,5.8,06.06,5,3,06.08,5.89,4.19,3.71
amateur,4.58,3.55,4.33,4.8,3.4,3.7,4.5,4.83,3.43,3.62
amaze,7.24,5,7.42,7,6.33,4.43,7.75,7.12,5.2,4.8
amazed,7.55,5.95,8.14,7.23,5.8,06.08,7.36,7.78,5.67,6.15
amazement,7.29,6.3,6.57,7.59,7,5.55,7.15,7.45,6.31,6.29
amazing,7.72,06.05,7.38,8,5.57,6.29,7.55,8,6.22,5.92
ambassador,5.5,3.91,6,5.21,4.2,3.67,5.73,5.27,04.09,3.73
amber,6.15,3.36,6.67,5.73,2,3.88,6.21,6,03.08,3.89
ambience,6.35,3.85,6.5,6.29,4,3.75,5.78,6.82,4.22,3.55
ambient,6.33,3.2,7,06.07,2.88,3.42,6.67,06.08,2.78,3.55
ambiguous,5.16,4,5,5.3,2.71,4.64,5.2,5.11,2.8,4.38
ambition,7.28,4.86,7.56,7.21,4.73,4.93,6.89,7.62,5.1,4.67
ambitious,6.33,5.76,6.33,6.33,6,5.64,6.5,6.29,6.7,4.91
ambrosia,5.95,04.05,5.67,06.07,4.62,3.67,5.17,6.27,5,3.1
ambulance,3.71,5.33,4.29,3.29,5.43,5.54,3.5,3.95,5.86,5.31
ambush,3.17,5.58,2.2,3.54,06.09,4.88,3.86,2.73,4.44,6.6
amend,5.85,03.06,5.8,5.87,2.8,3.15,6.1,5.6,3.71,2.64
amendment,5.6,3.5,5.4,5.67,4,3.25,5.7,5.5,3.4,3.62
amends,6.68,3.95,6.62,6.83,4.4,3.8,6.11,7.2,4.57,3.62
amiable,6.7,2.85,6.71,6.69,2.56,03.09,7,6.56,2.5,03.08
amino,4.45,3.83,4.5,4.42,4,3.64,4.88,4.36,4.21,3.3
ammo,4.18,5.53,4.8,4,5.88,5.27,4.17,4.2,5.6,5.44
ammonia,3.74,3,3.27,4,3.88,2.5,4,3.55,2.33,3.46
ammonium,04.06,4.37,4.2,4,05.09,3.38,4.14,4,3.25,5.18
ammunition,4.59,5.7,5,4,5.5,5.79,3.38,5,4.89,6.21
amnesia,3.43,05.04,3.64,3.2,5.18,4.92,3.5,3.36,5.55,4.58
amnesty,5.38,3.86,06.08,4.44,5,3.29,5,5.47,3.7,4
amorous,5.95,4.21,6.12,5.85,4.67,04.06,5.67,6.33,5,3.64
amount,5.42,3.53,5.33,5.44,4.25,3,5.67,5.2,3.62,3.45
amour,6.43,5.43,6.38,6.46,5.25,5.64,6.88,6.17,6.21,4.22
amp,5.79,05.05,4.8,6.15,6,4.67,5.71,5.82,5.43,4.86
amphibian,5.4,3.35,6.2,5.13,3,3.5,5.6,5.2,4,3
amphibious,5.75,5.7,6,5.44,6.43,5.31,6.36,5,5.73,5.67
ample,5.89,3.28,5.8,5.93,3.8,03.08,6.7,5,4.29,2.64
amputate,2.1,5.43,2.38,1.92,5,5.71,1.89,2.27,4.83,06.09
amputation,1.84,4.86,2.33,1.75,4.83,4.87,2.1,1.56,5,4.79
amuck,4,4.41,4,4.43,5,04.07,3.62,4.27,3.33,5.15
amulet,5.75,3.95,6.67,5.59,3.29,4.23,6.14,5.54,3.43,4.15
amuse,7.1,5.17,6.89,7.27,5.45,4.92,7,7.33,4.89,5.36
amused,07.05,4.27,6.3,7.73,3.14,4.8,6.82,7.3,3.2,4.59
amusement,7,4.82,6.71,7.17,5.2,4.5,6.36,7.88,5.22,4.54
amusing,7.6,5.18,7.56,7.64,4.2,5.44,7.43,8,4.42,6.11
anaconda,4.43,6,3.38,05.08,6.4,5.87,04.08,5,6.42,5.38
anagram,4.37,3.86,3.83,4.62,4.25,3.33,4.4,4.33,4.11,3.67
anal,4,4.29,5.38,3.15,5.83,3.78,4,4,5.2,3.64
analogy,5.24,3.95,5.5,05.08,3.6,04.07,5.54,4.75,4,3.86
analysis,5.25,3.74,5.33,5.21,3.71,3.75,5.2,5.27,3.6,3.89
analyst,5,3.24,5,5,3.57,03.08,5.14,4.92,3.86,2.92
analytical,6,4.13,6,6,4.22,04.07,5.67,6.3,3.83,4.45
analyze,5.65,4.1,6,5.59,5.43,3.46,5.57,5.69,5,3.69
analyzer,4.62,3.48,4.44,4.75,4.55,2.5,4.57,4.54,4.55,2.5
anaphylactic,4,5.57,4.4,3.92,5.67,5.53,3.86,4.18,5,5.86
anarchist,2.76,4.16,3.25,2.46,4.38,3.92,3.62,2.17,4.57,3.64
anarchy,3.68,4.86,3.91,3.43,5.12,4.71,4.12,3.36,4.33,5.23
anatomy,6.29,4.43,6.67,6,3.5,4.64,6.56,06.08,5.4,4.12
ancestor,6.37,3.73,6.57,6.25,4,3.5,5.9,6.89,3,4.23
ancestral,6.6,3.6,6.14,6.85,3.56,3.64,6.8,6.56,3.5,3.67
ancestry,6.29,3.71,6.5,6,3.86,3.64,5.25,6.53,3.3,04.09
anchor,5.16,3.32,4,5.69,04.08,2.4,5.1,5.22,4.33,2.62
anchorage,05.09,3.82,5.25,5,4.8,3,5,5.18,4.27,3.36
ancient,7.24,3.48,7.22,7.25,3.33,3.57,7,7.42,3,3.62
android,5.62,3.5,6.25,5.23,4.17,3.28,5.42,5.89,4.6,2.71
anecdote,5.62,4.65,4.71,5.85,5.12,4.36,4.86,5.77,4.67,4.64
anemia,03.05,04.09,3.6,2.88,4.75,3.36,2.42,3.89,4.44,3.29
anemic,3.45,3.45,3.57,3.38,3.33,3.55,3.5,3.33,2.88,3.83
anesthesia,4.84,3.64,4.64,5.57,3.88,3.5,3.88,5.55,3.78,3.54
anesthesiologist,4.95,3.56,3.8,5.33,4,3.33,5.2,4.7,3.5,3.62
anesthetic,5.48,3.23,5.2,5.56,3.73,2.73,4.92,6.22,3.33,3
aneurysm,2.5,5.38,3.14,2.15,5.2,5.55,2.82,2.11,5.25,5.46
angel,7.71,4.24,7.84,7.59,5.27,3.67,7.26,08.05,4.47,4.11
angelic,6.68,4.27,6.22,7.1,4.43,4.29,7.22,6.2,5.1,3.64
anger,2.5,5.93,1.67,2.65,5.65,6.17,2.43,2.54,5.58,6.21
angina,2.85,4.72,2.8,2.87,4.6,4.77,3.5,2.2,5.14,4.45
angiogram,4.19,3.61,4.78,3.75,3.73,3.5,4.43,4,4,3.25
angle,4.55,3.22,4.8,4.47,3.5,03.08,4.9,4.2,3.2,3.25
angora,5.63,2.95,5.18,5.86,3.38,2.71,5.5,5.73,2.56,3.23
angry,2.53,6.2,3.67,2.31,5.7,6.7,2.8,2.22,5.43,6.62
angst,3.5,5.76,3.7,3.3,5.12,6.15,3.22,3.73,5.92,5.5
anguish,3.14,5.41,3,3.3,5.36,5.45,3.1,3.18,5.27,5.55
anguished,2.78,4.79,2.84,2.73,4.33,05.04,2.89,2.76,4.67,4.88
animal,07.06,4.3,6.25,7.7,4.43,4.23,6.55,7.86,5,3.73
animated,6.65,5.77,6.67,6.64,6.4,5.25,6.64,6.67,5.5,5.93
animation,6.42,5.52,6.33,6.44,5.67,5.47,6.3,6.56,5.43,5.57
animosity,3.4,5.83,3,3.53,6.2,5.69,3.5,3.3,6.43,5.45
ankle,5.4,3.11,5.4,5.4,3.5,2.92,5.6,5.2,3.2,3
anklet,4.75,3.57,4.73,4.78,3.73,3.42,4.78,4.73,4.27,2.92
annals,4.8,2.6,5,4.69,3,2.27,4.8,4.78,2.25,2.83
annex,4.41,4,4.75,4.38,4.75,3.5,4.12,4.77,3.89,04.07
annihilate,3.15,6.44,2.8,3.27,6.2,6.54,3.3,3,6.86,6.18
annihilation,2.58,5.52,4.67,2.19,6.17,5.27,2.7,2.44,4.71,5.93
anniversary,6.95,4,6.86,7.12,4.18,4.11,7,6.92,3,5.1
announce,5.52,3.65,5.67,5.47,3.5,3.75,6.11,05.08,3.89,3.45
announcement,5.81,4.3,5.67,5.87,3.88,4.58,6.11,5.58,4.11,4.45
announcer,5.84,4.5,6.33,5.62,4.55,4.45,6,5.62,4.27,4.73
annoy,2.49,05.04,2.68,2.32,5.86,4.87,2.68,2.33,5,5.33
annoyance,2.95,4.1,2.86,3,3.78,4.36,2.9,2.89,3.88,4.25
annoyed,2.8,5.29,2,2.94,5.43,5.15,2.43,3,5.86,4.92
annoying,3,5.55,2.6,3.15,5.36,5.78,2.57,3.27,4.89,06.09
annual,5.19,3.7,4.2,5.5,4.58,2.73,4.83,5.67,3.62,3.86
annul,3.83,4.23,4,3.73,3.8,4.58,4.33,3.27,3.55,4.91
annulment,04.05,4.14,4.71,3.69,4.9,3.5,4.18,3.89,3.67,4.46
anointed,4.79,3.32,4,5.15,3.27,3.36,4.64,5,3.55,03.09
anomaly,4.84,4.25,5.15,4.17,4,4.33,5,4.7,4.86,3.92
anonymity,4.81,3.29,4.67,5,3.86,3,5,4.76,3.8,2.82
anonymous,5.75,4.13,6.33,5.27,4.36,3.92,5.71,5.83,4.44,3.93
anorexic,2.71,4.24,3.11,2.42,3,4.57,3.33,2.25,5.2,3.94
answer,6.1,4,6.42,5.85,4.12,3.92,6.57,5.71,4.52,3.5
ant,3.9,3.27,4.1,3.73,2.29,3.73,3.55,4.3,2.8,3.41
antagonistic,4.32,4.11,5,3.38,5.5,3.71,4.88,3.91,4,4.18
antagonize,3.15,4.95,2.57,3.46,5.33,4.64,3.4,2.89,4.12,5.5
antelope,5.68,4.46,5.67,5.69,2.8,5.5,5.5,5.79,4.62,4.31
antenna,5.43,3.15,5.67,5.11,3.57,2.92,5.75,5.35,3.11,3.18
anterior,4.89,3.36,4.67,5,3.64,03.09,4.73,5.12,3.73,3
anthem,5.95,4.48,6.4,5.5,5.25,4,5.56,6.27,5.15,3.38
anthill,4.32,4.63,4.2,4.44,4.38,4.82,4.17,4.5,5.3,3.89
anthrax,2.32,4.72,2.55,2,5.5,4.5,2.62,02.09,5,4.55
anthropological,5.53,3.82,6.67,5,4,3.64,5.64,5.38,4.45,3.18
anthropologist,5.7,3.27,6.57,5.23,3.4,3.17,5.27,6.22,3.33,3.23
anthropology,5.3,2.91,5.56,05.09,2.27,3.5,5.29,5.33,2.56,3.14
anti,4.47,4.23,5.11,3.9,4.5,04.07,5.43,3.92,4.2,4.25
antiaircraft,4.85,4.6,6.29,04.08,4.77,4.42,6.57,04.08,05.07,4
antibiotic,5.88,04.05,6.29,5.3,4.43,3.86,5.6,5.95,3.9,4.18
antibiotics,05.05,04.05,4.43,5.38,3.6,4.42,4.64,5.56,3.67,4.31
antichrist,2.36,5.58,1.44,3,5.6,5.56,1.62,2.79,5.31,5.85
anticipate,6,5.7,6.29,5.85,6,5.45,6.1,5.89,5.5,5.83
anticipation,5.26,5.39,5.36,5.12,5.25,5.43,5.75,4.91,5.71,5.18
antics,3.95,5.1,5,3.75,4.62,5.38,3.33,4.5,5.56,4.75
antidote,6.55,3.24,6,6.69,3.5,3.18,6.75,6.42,2.4,4
antigravity,5.74,5.1,6.71,5.17,7.22,3.36,5.56,5.78,6.12,4.42
antiquated,5,4.95,5.25,4.85,6.2,4.53,5.15,4.75,5,4.88
antique,6.5,4,6.67,6.36,3.33,4.17,6.47,6.6,3.5,4.6
antiques,6.63,3.68,5.56,7.6,2.43,4.43,6.78,6.5,3.5,4
antiseptic,4.57,3.15,4.17,4.73,3.12,3.17,4.89,4.33,3.56,2.82
antisocial,3.21,5.32,3.33,3.1,5.8,4.92,3.46,2.67,5.38,5.29
antsy,4.36,5.23,5.25,3.86,4.7,5.67,4.18,4.55,4.91,5.55
anus,2.9,4.39,2,3.2,4,4.54,2.5,3.3,4.71,4.18
anvil,05.05,4.4,5.18,4.89,4.86,4.15,5,5.11,4.91,3.78
anxiety,2.38,4.78,3,1.92,4.45,05.08,2.71,2.23,5.82,3.83
anxious,3.8,6.2,4.2,3.4,5.67,6.48,3.89,3.71,06.05,6.33
anytime,5.81,4.6,6,5.73,5.12,4.25,6,5.67,4.56,4.64
aorta,4.35,3.64,4,4.64,2.8,4,4.64,3.67,3.5,4
aortic,4.25,3.5,3.6,4.47,6,2.92,4.5,4,4.5,2.9
apache,5.2,3.7,5.29,5.15,4,3.45,5.3,5.11,3.25,4
apartment,5.72,3.8,4.62,6.6,3.71,3.85,4.73,7.29,4.56,3.18
apartments,5,3.28,4.82,5.25,4.25,3,5,5,4,2.82
apathy,3.68,3.8,4,3.62,4.5,3.5,4.1,3.22,3.5,3.93
ape,5.21,4.25,5.23,5.17,5.2,3.93,5.78,4.7,6.14,3.23
apex,5.52,3.48,5.67,5.47,4,3.35,5,5.86,3.1,3.82
aphrodisiac,6.43,5.96,6.27,6.6,6.82,5.17,7.4,5.55,06.09,5.83
apocalypse,3.24,05.04,3.12,3.31,5.83,4.78,3.67,2.67,5.3,4.86
apologetic,6.65,4,7.25,6.5,4.25,3.94,6.75,6.58,4.2,3.82
apologize,4.94,3.52,4.25,5.5,3.14,3.71,4.73,5.29,2.56,4.25
apology,6.24,4,5.78,6.58,2.17,4.8,5.89,6.5,3.4,4.18
apostle,5.5,4.38,5.62,5.42,4.69,4,5.5,5.64,4.86,3.7
apothecary,5.48,4.23,5.38,5.53,4,4.42,5.67,5.27,4.36,04.09
appalled,3.62,4.91,3.25,3.85,5.27,4.55,3.75,3.44,3.82,6
appalling,2.95,5.5,3,2.93,5.6,5.4,3.83,2.5,5.71,5.38
apparatus,5.5,4,5.79,5,4.55,3.56,5.5,5.5,3.82,4.2
apparel,5.38,4.3,5.4,5.38,5.42,03.09,4.67,6.33,4.69,3.43
apparent,4.96,3.19,5.62,4.6,4,2.45,4.92,5,2.9,3.45
apparition,4.85,4.82,4.56,05.09,5.2,4.5,5,4.5,4.62,4.93
appeal,6.3,3.57,6.75,6.19,5.75,03.06,6.88,5.92,3.8,3.36
appear,5.25,3.24,5,5.29,4.57,2.54,5.43,5.15,4.57,2.54
appearance,6.14,4.57,6.6,6,05.08,4,5.83,6.56,04.06,5.71
appease,5.95,3.55,6.57,5.62,4.4,2.83,5.82,6.11,3.33,3.69
appendage,4.23,4.35,4.62,4.23,4.62,4,4,4.62,4.67,4.14
appendectomy,2.95,6.14,2.56,3.3,6.43,6,3.57,2.58,5.8,6.45
appendicitis,1.86,5.12,1.38,2.15,5,5.25,2,1.75,5.5,4.64
appendix,4.81,2.92,5.25,4.54,3.5,2.72,5.5,3.89,3.1,2.79
appetite,6.23,5.37,5.8,6.38,6.62,4.45,5.92,6.6,5.2,5.56
appetizer,7.29,4.52,7.25,7.31,05.08,3.92,7.38,7.5,5.29,3.55
appetizing,7,4.82,6.91,6.86,5.75,4.29,7,7,4.78,4.85
applaud,6.7,05.05,7.14,6.46,5,5.1,6.7,6.78,4.75,5.27
applause,7.12,5.38,7.28,7,5.38,5.38,7,7.3,5.56,5.25
apple,6.62,3.52,6.33,7,3.86,3.36,7.25,6.47,4.4,2.73
apple juice,7.3,3.2,7.67,6.91,3.75,2.83,7.1,7.46,3.17,3.25
applejack,5.79,3.8,5.6,5.92,3.83,3.79,6.43,5.45,3.86,3.77
applesauce,6.9,2.78,6.75,7,3.55,02.08,6.57,7,3.36,2.25
appliance,5.15,2.84,5.24,5.18,3.76,2.33,4.93,5.27,3.29,2.46
applicant,4.91,3.96,4.89,4.92,3.1,4.53,5.12,4.79,4.25,3.69
application,05.05,4.52,5.6,4.87,5.5,3.45,05.09,5,4.94,3.57
apply,5.16,3.24,5.67,05.06,3.67,03.07,5.4,4.89,2.86,3.43
appoint,5.95,4.25,6.23,5.33,4.8,04.07,5.89,6,5.71,3.46
appointment,4.43,4.8,4.46,4.38,4.86,4.77,4.42,4.44,4.56,5
appraisal,05.09,04.09,5.38,4.93,5,3.33,5.25,4.91,4.36,3.82
appreciate,7.33,3.1,6.12,8.3,3.86,2.69,6.64,8.43,2.56,3.55
appreciation,7.3,4.68,7.11,7.45,3.6,4.88,7,8,4.42,4.78
appreciative,7.14,4.35,5.8,7.56,4.5,4.18,7.33,6.89,4.5,4
apprehend,4.14,5.13,4,4.3,5.27,5,4.7,3.64,5.45,4.83
apprehension,4.15,4.23,5.14,3.62,4.4,04.08,4.27,4,4.67,3.92
apprehensive,3.32,4.77,3.89,2.8,5.38,4.43,4,2.92,4.5,5
apprentice,5.95,3.59,5.89,6,3.17,3.53,5.44,6.33,4.4,3.35
approach,5.45,4.48,5.5,5.4,4.88,4.23,4.78,6,05.08,3.5
appropriate,6.1,04.04,5.6,6.27,5.17,2.82,6.36,5.78,04.06,4
approval,6.75,3.52,6.5,7,2.71,3.93,6.3,7.2,3.4,3.56
approve,7,04.09,6.78,7.18,3,4.38,6.64,7.83,4.25,3.78
approximate,5.26,3.82,5.5,5.13,3.2,4.33,5.5,5,4,3.64
apricot,5.95,4.29,6.6,5.3,4.38,4.23,5.22,6.55,4.69,3.62
apron,5.8,2.9,6,5.69,3.44,2.45,6.1,5.67,3.12,2.75
apt,5.64,04.05,4.2,6.12,4.38,3.82,5.33,6,4.2,3.89
aptitude,5.95,4.55,6.33,5.88,4.5,4.57,5.3,6.67,4.83,4.43
aqua,6.5,3.6,6.71,6.38,3.89,3.36,6.2,7,4,3.33
aquamarine,6.4,3.9,4.5,7.21,3.62,04.08,5.89,6.82,4.67,3.27
aquarium,6.43,4.3,6.5,6.4,6,3.17,6.33,6.47,4.8,3.8
aquatic,6.8,3.58,6.25,7.17,5.33,3,6.73,6.89,5,2.57
arbitrary,4.15,4.55,4,4.33,5.14,4.23,4.27,4,4,5.22
arbitration,04.09,4.41,4.91,3.27,4.75,4.21,4.88,3.64,4.3,4.5
arcade,6.45,6.1,6.64,6.22,7,5.62,6.55,6.33,5.27,7.11
arcane,5.25,3.61,6.11,4.55,04.09,3.17,5.64,4.33,3.78,3.5
arch,5.8,3.15,6.29,5.54,3.78,2.64,6.1,5.22,2.88,3.33
archaeological,06.05,4.52,6.67,5.94,4.12,4.77,5.67,6.4,5.22,4
archaeologist,5.42,4.14,5.4,5.46,3.83,4.27,5.14,5.64,4,4.21
archaeology,6.1,3.86,6.57,5.85,3.5,4.18,6,6.22,3,4.5
archaic,4.5,4.38,4.43,4.62,4.27,4.56,4.2,4.75,4.36,4.4
archangel,7.27,4.19,7.67,7,4,4.31,7.38,7.21,4.62,3.77
archbishop,4.71,3.78,4.77,4.64,4.55,03.08,5.18,4.31,4.55,03.08
archdiocese,3.95,3.41,3,4.38,4.18,2.64,3.91,4,3.27,3.55
archduke,4.15,3.56,4,4.2,4.33,3.17,4.7,3.6,4.1,2.88
archery,5.25,4.39,5.8,05.07,6,3.58,5.7,4.8,5.3,3.25
architect,6.21,3.25,7,5.93,3.3,3.2,5.67,6.33,3.29,3.23
architectural,6.32,04.05,5,6.92,4.7,3.45,6.45,6.12,3.6,4.45
architecture,06.05,4.39,6,6.18,4.38,4.5,6.57,5.83,4.33,4.43
archive,4.81,4.18,4.6,4.88,4.5,3.8,4.5,5.22,4.44,3.5
arctic,4.45,3.88,5.56,3.55,2.33,4.39,4.38,4.75,3.43,4.5
ardent,4.95,4.62,5.12,4.85,5.15,4,5,5.17,5.64,3.2
area,5.56,2.19,5.38,5.7,3,1.79,5.64,5.43,1.89,2.42
arena,5.75,4.23,7,05.08,4.8,3.75,5.55,6,5.44,3.38
argue,3.15,6.67,2.91,3.44,6.83,6.58,3.18,3.11,7.1,6.12
argument,2.62,5.22,3.22,2.17,4.55,5.83,3.29,2.23,5.36,05.08
argumentative,3.2,5.61,4.2,2.87,6.25,4.91,2.73,3.78,5.62,5.57
arise,6.17,4.76,6.6,6,4.5,4.87,5.86,6.4,5.14,4.57
aristocracy,5.21,4.15,5.38,4.83,3.4,4.4,5.22,5.2,4,4.23
aristocrat,4.28,3.6,5,04.07,3.2,4,4.5,04.09,3.29,3.77
aristocratic,5.79,3.18,5.36,6.14,2.25,3.71,5.88,5.73,2.44,3.69
arithmetic,4.95,4,5.33,4.69,2.9,4.69,4.88,5,4.38,3.62
ark,6.15,3.52,5.33,6.29,3.43,3.69,6,6.23,4.71,3
arm,5.44,3.44,5,5.78,4.25,2.96,5.6,5,2.89,3.81
armada,4.6,3.29,4,4.71,3.29,3.46,4,4.92,4.14,3
armament,05.05,4.65,4.78,5.3,5.43,4.47,5.33,4.8,4.9,4.67
armchair,5.67,2.75,5.44,5.83,2.5,2.83,5.44,6.4,3,2.4
armed,4.11,6.3,4.44,3.8,7.57,5.87,4.11,4.1,6.6,6.25
armor,6.1,3.29,6.62,5.77,4.5,2.89,6.58,5.44,4.2,2.64
armored,5.67,3.52,5.3,6,3,3.79,6,5.3,2.2,3.94
armory,5.25,4.48,5,5.5,4.62,4.38,5.33,5.18,05.08,3.5
armpit,4.1,3.57,4.42,3.62,4.71,3,4.33,04.06,3,04.09
army,4.65,4.49,5.4,4.4,4.3,4.56,5.4,3.9,5.13,4.14
aroma,7.65,4.35,7.75,7.58,4.64,04.08,7,08.08,4,4.67
arouse,6.67,6.21,7,6.46,6.67,06.06,6.5,6.89,6.4,06.07
aroused,5.95,7.3,6.67,5.82,6.67,7.57,6.57,5.62,7.57,7.15
arraignment,3.91,4.6,3.78,4,4.9,4.4,4.12,3.79,4.54,4.67
arrange,5.15,3.57,5.5,4.8,4.5,3,4.89,5.36,4.23,2.5
arrangement,5.71,3,6.5,5.4,2.62,3.25,6.11,5.42,3.22,2.82
array,5.9,3.71,5.67,06.08,3.5,3.79,5.56,6.17,3.8,3.69
arrest,2.33,6.86,3,1.8,5.71,7.43,2.91,1.43,7.11,6.67
arrhythmia,3.86,4.95,4,3.79,4.9,5,4,3.73,4,5.91
arrival,6.67,3.6,6.33,6.92,3.17,3.72,6.56,7,3.79,3.3
arrive,6.41,5,6.31,6.56,5.86,4.54,6.17,6.7,4.78,5.18
arrogance,2.55,4.65,2.43,2.62,4.33,4.91,2.7,2.22,4.12,5
arrogant,2.52,5.15,2.58,2.44,4.7,5.6,2.5,2.53,4.14,5.69
arrow,5.24,3.91,5.33,5.17,04.09,3.75,5.86,4.92,4.18,3.67
arsenal,4.45,5.48,5.44,3.77,6,5.13,4.12,4.64,5.17,5.77
arsenic,3,4.7,03.09,2.9,4.64,4.75,3.6,2.45,4.82,4.58
arson,2.26,5.41,2.27,2.43,5.62,5.29,2.88,1.82,4.67,5.92
arsonist,2.5,6.95,2.36,2.67,7,6.92,2.45,2.56,7,6.89
art,6.85,4.48,6.31,07.08,3.86,4.93,5.94,7.45,4.3,4.83
arterial,3.95,3.39,4,3.92,3.82,3,4.14,3.77,4.18,2.67
artery,4.29,04.09,4.78,3.92,4.82,3.42,5.57,3.54,4.64,3.58
arthritis,2.32,4.27,2,2.55,3.6,4.62,2.46,2,4.33,4.44
artichoke,5.3,3.5,5.29,5.31,3.6,3.42,4.82,5.89,4.22,3
article,5.68,3.5,5.78,5.6,2,04.06,06.07,4.6,3.67,3.44
articulate,6.55,4.27,6.25,6.54,4.75,3.92,6.62,6.31,4.56,04.08
artifact,6.2,4.95,6.55,5.78,5.86,4.46,6.36,6,5.64,4.11
artificial,3.86,4.17,4.25,3.62,4.31,4,3.62,4.25,4.93,3.1
artillery,4.1,4.56,4.4,4,4.83,4.42,4.5,3.7,5,4
artist,6.76,4.1,5.85,8.25,5.14,3.54,6.58,7,4.11,04.09
artiste,6.33,3,5.5,6.85,4.17,2.61,5.92,6.89,3.6,2.57
artistic,7,5,6.8,07.07,5,5,7,7,5.1,4.88
artistry,6.91,4.71,7.21,6.38,4,5.56,6.7,07.08,4.18,5.3
artwork,6.76,4.18,6.44,7,2.83,4.73,6.33,07.08,5.2,3.88
arty,6.55,5.53,5.8,6.81,4.62,6.18,6.17,7,4.2,7
asbestos,2.24,4.38,2.38,2.15,4.67,04.08,2.75,2,4.54,4.18
ascend,6.19,4.13,6,6.4,4.36,3.92,6.6,5.82,5,3.33
ascendant,5.29,3.23,5.22,5.33,3.27,3.18,4.43,5.77,3.36,03.09
ascending,5.14,3.73,5.38,5,3.9,3.58,5.27,5,3.36,04.09
ascension,5.77,5.36,5.88,5.71,5.1,5.58,5.64,5.91,4.82,5.91
ascertain,5.3,3.17,5.62,05.08,2.89,3.36,5.22,5.36,3,3.36
ashamed,2.52,5.65,3.23,1.38,4.43,6.31,2.75,2.22,4.33,6.73
ashtray,3.52,3.48,3.33,3.67,4,3,4.43,03.08,4.45,2.58
asinine,05.05,4.63,5.38,4.85,4.4,4.71,5.38,4.5,4.36,5
ask,5.95,3.48,6.33,5.87,3.14,3.64,5.86,6.29,2.44,4.25
asleep,6.5,2,6.25,6.7,2.71,1.64,6.64,6.29,1.89,02.08
asparagus,5.43,2.73,5.1,5.73,2.57,2.8,05.09,5.8,3.4,2.53
aspect,4.89,3.39,5.27,4.38,4.5,03.07,5.12,4.73,3.29,3.45
aspen,6.57,4.11,6.5,6.62,3.2,4.43,6.77,6.25,4.36,3.75
asphalt,4.46,3.2,4.5,4.44,2.88,3.42,4.57,4.41,3.1,3.3
asphyxia,2.19,6.14,2.33,2,6.71,5.86,2.5,2.12,5.9,6.36
asphyxiation,1.53,6.91,1.67,1.46,6.83,7,1.8,1.22,7.56,6.46
aspiration,6.26,5,7.11,5.5,5.62,4.62,6.56,6,5.54,4.12
aspire,6.43,3.68,5.4,7.36,2.57,4.2,6.45,6.4,3.2,3.82
aspirin,5.3,3.35,5.67,5.24,3.5,3.23,5,5.46,3.86,3
aspiring,6.89,4.41,6.17,7.23,4.64,4.18,7,6.75,3.91,4.91
ass,5.45,5.43,7,5.13,5.14,5.57,6.43,4.14,5.89,05.08
assailant,3.24,5.7,3.8,03.06,6.33,5,3.25,3.22,5.81,5.43
assassin,2.11,5.82,2.62,1.7,5.76,5.85,3.33,1.5,4.79,6.3
assassinate,3.27,6.38,3.21,3.38,6.27,6.33,3.9,2.75,06.09,6.7
assassination,1.83,6.2,1.67,1.86,6.4,6,2.17,1.64,5.86,6.38
assault,02.05,6.8,2.53,1.75,6.7,6.86,2.39,1.76,6.46,07.08
assemble,5.14,3.52,4.89,5.33,04.09,3,4.14,5.69,4.36,2.75
assembly,5.47,3.95,5.5,5.46,4,3.91,5.27,5.75,3.64,4.27
assemblyman,5,3.12,5.33,4.75,3,03.06,5.19,4.4,2.5,3.8
assert,5.68,4.64,5.38,5.91,4.78,4.54,5.44,5.9,4.82,4.45
assertive,5.37,5.55,5.38,5.33,5.6,5.53,5.67,5.1,6.57,5
assess,5.84,3.45,5.67,5.92,2.82,04.09,6.18,5.38,3.27,3.64
